Parameter Name,Value,Units
CUT/SAVE Plan Source,P0trtewtewrewrF_1.csv,
AUTO Plan Mode,CUT/SAVE from spool end (0 at log end),
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.47374239563942,km
Fiber Length Min (log),0.0,km
Fiber Length Max (log),0.47374239563942,km
T&M Coordinate System,km_from_end = (L_end - FibreLength),
Good Zones Order,Ordered from spool end → toward start,
Good Zone 1 (km from end) Start,0.097045987844468,km
Good Zone 1 (km from end) End,0.218475192785264,km
Good Zone 1 Length,0.12142920494079601,km
Good Zone 1 Fibre Length Min,0.255267202854156,km
Good Zone 1 Fibre Length Max,0.376696407794952,km
Good Zone 2 (km from end) Start,0.372871994972229,km
Good Zone 2 (km from end) End,0.4034067913889889,km
Good Zone 2 Length,0.030534796416759893,km
Good Zone 2 Fibre Length Min,0.0703356042504311,km
Good Zone 2 Fibre Length Max,0.100870400667191,km
Good Zone 3 (km from end) Start,0.4300783947110181,km
Good Zone 3 (km from end) End,0.4659199956804519,km
Good Zone 3 Length,0.0358416009694338,km
Good Zone 3 Fibre Length Min,0.0078223999589681,km
Good Zone 3 Fibre Length Max,0.0436640009284019,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.097045987844468,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.12142920494079601,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,0.255267202854156,km
T&M Step 2 Fibre Length Max,0.376696407794952,km
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.154396802186965,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.030534796416759893,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 4 Fibre Length Min,0.0703356042504311,km
T&M Step 4 Fibre Length Max,0.100870400667191,km
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.026671603322029225,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.0358416009694338,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 6 Fibre Length Min,0.0078223999589681,km
T&M Step 6 Fibre Length Max,0.0436640009284019,km
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.007822399958968107,km
Total Saved Length,0.18780560232698967,km
Total Cut Length,0.2859367933124303,km
Preform Length After Draw,0.0,cm
Done Description,GOOD,
Done Timestamp,2026-03-03 01:05:56,
